meter_ts,plant_code,kwh
2024-03-02 03:00:00,STL-004,996.6
2024-03-02 04:00:00,STL-001,842.6
2024-03-02 04:00:00,STL-002,859.8
2024-03-02 04:00:00,STL-003,869.6
2024-03-02 04:00:00,STL-004,765.1
2024-03-02 05:00:00,STL-001,812.3
2024-03-02 05:00:00,STL-002,794.3
2024-03-02 05:00:00,STL-003,808.5
2024-03-02 05:00:00,STL-004,797.0
2024-03-02 06:00:00,STL-001,704.5
2024-03-02 06:00:00,STL-002,705.5
2024-03-02 06:00:00,STL-003,662.9
2024-03-02 06:00:00,STL-004,739.3
2024-03-02 07:00:00,STL-001,686.3
2024-03-02 07:00:00,STL-002,687.1
2024-03-02 07:00:00,STL-003,708.3
2024-03-02 07:00:00,STL-004,701.4
2024-03-02 08:00:00,STL-001,813.1
2024-03-02 08:00:00,STL-002,764.8
2024-03-02 08:00:00,STL-003,756.0
2024-03-02 08:00:00,STL-004,781.4
2024-03-02 09:00:00,STL-001,883.5
2024-03-02 09:00:00,STL-002,933.8
2024-03-02 09:00:00,STL-003,868.9
2024-03-02 09:00:00,STL-004,1031.9
2024-03-02 10:00:00,STL-001,1104.6
2024-03-02 10:00:00,STL-002,1004.1
2024-03-02 10:00:00,STL-003,1026.5
2024-03-02 10:00:00,STL-004,1047.0
2024-03-02 11:00:00,STL-001,1136.1
2024-03-02 11:00:00,STL-002,1079.8
2024-03-02 11:00:00,STL-003,1249.3
2024-03-02 11:00:00,STL-004,1283.0
2024-03-02 12:00:00,STL-001,1191.8
2024-03-02 12:00:00,STL-002,1196.1
2024-03-02 12:00:00,STL-003,1100.6
2024-03-02 12:00:00,STL-004,1104.5
2024-03-02 13:00:00,STL-001,1131.1
2024-03-02 13:00:00,STL-002,1112.9
2024-03-02 13:00:00,STL-003,1244.7
2024-03-02 13:00:00,STL-004,1088.8
2024-03-02 14:00:00,STL-001,977.0
2024-03-02 14:00:00,STL-002,1177.4
2024-03-02 14:00:00,STL-003,1086.1
2024-03-02 14:00:00,STL-004,1003.7
2024-03-02 15:00:00,STL-001,968.3
2024-03-02 15:00:00,STL-002,869.2
2024-03-02 15:00:00,STL-003,965.4
2024-03-02 15:00:00,STL-004,1051.9
2024-03-02 16:00:00,STL-001,901.0
2024-03-02 16:00:00,STL-002,873.0
2024-03-02 16:00:00,STL-003,799.9
2024-03-02 16:00:00,STL-004,817.6
2024-03-02 17:00:00,STL-001,702.1
2024-03-02 17:00:00,STL-002,793.1
2024-03-02 17:00:00,STL-003,757.1
2024-03-02 17:00:00,STL-004,794.1
2024-03-02 18:00:00,STL-001,695.5
2024-03-02 18:00:00,STL-002,680.1
2024-03-02 18:00:00,STL-003,764.9
2024-03-02 18:00:00,STL-004,789.8
2024-03-02 19:00:00,STL-001,805.2
2024-03-02 19:00:00,STL-002,798.2
2024-03-02 19:00:00,STL-003,800.0
2024-03-02 19:00:00,STL-004,788.2
2024-03-02 20:00:00,STL-001,794.1
2024-03-02 20:00:00,STL-002,843.0
2024-03-02 20:00:00,STL-003,815.7
2024-03-02 20:00:00,STL-004,760.9
2024-03-02 21:00:00,STL-001,869.4
2024-03-02 21:00:00,STL-002,917.6
2024-03-02 21:00:00,STL-003,913.8
2024-03-02 21:00:00,STL-004,997.0
2024-03-02 22:00:00,STL-001,1178.6
2024-03-02 22:00:00,STL-002,1068.6
2024-03-02 22:00:00,STL-003,1174.4
2024-03-02 22:00:00,STL-004,1185.4
2024-03-02 23:00:00,STL-001,1274.1
2024-03-02 23:00:00,STL-002,1136.2
2024-03-02 23:00:00,STL-003,1102.6
2024-03-02 23:00:00,STL-004,1104.0
2024-03-03 00:00:00,STL-001,1127.2
2024-03-03 00:00:00,STL-002,1129.0
2024-03-03 00:00:00,STL-003,1229.8
2024-03-03 00:00:00,STL-004,1296.1
2024-03-03 01:00:00,STL-001,1247.4
2024-03-03 01:00:00,STL-002,1163.1
2024-03-03 01:00:00,STL-003,1203.6
2024-03-03 01:00:00,STL-004,1237.8
2024-03-03 02:00:00,STL-001,990.3
2024-03-03 02:00:00,STL-002,1114.7
2024-03-03 02:00:00,STL-003,1168.5
2024-03-03 02:00:00,STL-004,1141.0
2024-03-03 03:00:00,STL-001,1008.0
2024-03-03 03:00:00,STL-002,955.8
2024-03-03 03:00:00,STL-003,898.3
2024-03-03 03:00:00,STL-004,1015.5
2024-03-03 04:00:00,STL-001,811.9
2024-03-03 04:00:00,STL-002,890.5
2024-03-03 04:00:00,STL-003,919.2
2024-03-03 04:00:00,STL-004,822.5
2024-03-03 05:00:00,STL-001,737.3
2024-03-03 05:00:00,STL-002,819.4
2024-03-03 05:00:00,STL-003,786.0
2024-03-03 05:00:00,STL-004,702.5
2024-03-03 06:00:00,STL-001,666.3
2024-03-03 06:00:00,STL-002,669.8
2024-03-03 06:00:00,STL-003,778.3
2024-03-03 06:00:00,STL-004,764.1
2024-03-03 07:00:00,STL-001,698.9
2024-03-03 07:00:00,STL-002,801.3
2024-03-03 07:00:00,STL-003,824.4
2024-03-03 07:00:00,STL-004,775.8
2024-03-03 08:00:00,STL-001,814.9
2024-03-03 08:00:00,STL-002,848.2
2024-03-03 08:00:00,STL-003,778.0
2024-03-03 08:00:00,STL-004,758.4
2024-03-03 09:00:00,STL-001,1050.4
2024-03-03 09:00:00,STL-002,988.7
2024-03-03 09:00:00,STL-003,965.1
2024-03-03 09:00:00,STL-004,1043.3
2024-03-03 10:00:00,STL-001,1065.7
2024-03-03 10:00:00,STL-002,1160.3
2024-03-03 10:00:00,STL-003,1150.4
2024-03-03 10:00:00,STL-004,1017.6
2024-03-03 11:00:00,STL-001,1109.9
2024-03-03 11:00:00,STL-002,1119.5
2024-03-03 11:00:00,STL-003,1107.2
2024-03-03 11:00:00,STL-004,1188.0
2024-03-03 12:00:00,STL-001,1142.2
2024-03-03 12:00:00,STL-002,1180.6
2024-03-03 12:00:00,STL-003,1111.5
2024-03-03 12:00:00,STL-004,1298.4
2024-03-03 13:00:00,STL-001,1133.7
2024-03-03 13:00:00,STL-002,1158.1
2024-03-03 13:00:00,STL-003,1187.3
2024-03-03 13:00:00,STL-004,1262.3
2024-03-03 14:00:00,STL-001,1062.9
2024-03-03 14:00:00,STL-002,1170.2
2024-03-03 14:00:00,STL-003,1080.4
2024-03-03 14:00:00,STL-004,1086.9
2024-03-03 15:00:00,STL-001,964.5
2024-03-03 15:00:00,STL-002,867.6
2024-03-03 15:00:00,STL-003,948.5
2024-03-03 15:00:00,STL-004,899.2
2024-03-03 16:00:00,STL-001,756.7
2024-03-03 16:00:00,STL-002,890.3
2024-03-03 16:00:00,STL-003,785.0
2024-03-03 16:00:00,STL-004,835.5
2024-03-03 17:00:00,STL-001,786.0
2024-03-03 17:00:00,STL-002,760.6
2024-03-03 17:00:00,STL-003,726.0
2024-03-03 17:00:00,STL-004,754.9
2024-03-03 18:00:00,STL-001,728.0
2024-03-03 18:00:00,STL-002,760.9
2024-03-03 18:00:00,STL-003,663.3
2024-03-03 18:00:00,STL-004,728.7
2024-03-03 19:00:00,STL-001,714.3
2024-03-03 19:00:00,STL-002,718.6
2024-03-03 19:00:00,STL-003,793.1
2024-03-03 19:00:00,STL-004,753.3
2024-03-03 20:00:00,STL-001,850.4
2024-03-03 20:00:00,STL-002,883.7
2024-03-03 20:00:00,STL-003,909.3
2024-03-03 20:00:00,STL-004,830.5
2024-03-03 21:00:00,STL-001,981.6
2024-03-03 21:00:00,STL-002,961.1
2024-03-03 21:00:00,STL-003,962.3
2024-03-03 21:00:00,STL-004,997.0
2024-03-03 22:00:00,STL-001,1069.7
2024-03-03 22:00:00,STL-002,1087.2
2024-03-03 22:00:00,STL-003,1075.3
2024-03-03 22:00:00,STL-004,1175.4
2024-03-03 23:00:00,STL-001,1214.4
2024-03-03 23:00:00,STL-002,1255.8
2024-03-03 23:00:00,STL-003,1271.1
2024-03-03 23:00:00,STL-004,1111.7
2024-03-04 00:00:00,STL-001,1214.3
2024-03-04 00:00:00,STL-002,1306.4
2024-03-04 00:00:00,STL-003,1281.6
2024-03-04 00:00:00,STL-004,1112.9
2024-03-04 01:00:00,STL-001,1079.5
2024-03-04 01:00:00,STL-002,1154.3
2024-03-04 01:00:00,STL-003,1068.0
2024-03-04 01:00:00,STL-004,1107.3
2024-03-04 02:00:00,STL-001,987.8
2024-03-04 02:00:00,STL-002,1116.6
2024-03-04 02:00:00,STL-003,1141.3
2024-03-04 02:00:00,STL-004,1165.8
2024-03-04 03:00:00,STL-001,893.7
2024-03-04 03:00:00,STL-002,1001.5
2024-03-04 03:00:00,STL-003,990.8
2024-03-04 03:00:00,STL-004,891.5
2024-03-04 04:00:00,STL-001,904.3
2024-03-04 04:00:00,STL-002,918.5
2024-03-04 04:00:00,STL-003,792.9
2024-03-04 04:00:00,STL-004,916.0
2024-03-04 05:00:00,STL-001,736.8
2024-03-04 05:00:00,STL-002,750.2
2024-03-04 05:00:00,STL-003,825.8
2024-03-04 05:00:00,STL-004,802.2
2024-03-04 06:00:00,STL-001,671.3
2024-03-04 06:00:00,STL-002,710.1
2024-03-04 06:00:00,STL-003,722.2
2024-03-04 06:00:00,STL-004,696.8
2024-03-04 07:00:00,STL-001,706.4
2024-03-04 07:00:00,STL-002,724.9
2024-03-04 07:00:00,STL-003,785.6
2024-03-04 07:00:00,STL-004,679.9
2024-03-04 08:00:00,STL-001,849.1
2024-03-04 08:00:00,STL-002,830.0
2024-03-04 08:00:00,STL-003,759.0
2024-03-04 08:00:00,STL-004,811.7
2024-03-04 09:00:00,STL-001,983.8
2024-03-04 09:00:00,STL-002,962.4
2024-03-04 09:00:00,STL-003,876.3
2024-03-04 09:00:00,STL-004,1053.1
2024-03-04 10:00:00,STL-001,1142.3
2024-03-04 10:00:00,STL-002,1181.9
2024-03-04 10:00:00,STL-003,994.6
2024-03-04 10:00:00,STL-004,1029.4
2024-03-04 11:00:00,STL-001,1060.3
2024-03-04 11:00:00,STL-002,1233.0
2024-03-04 11:00:00,STL-003,1114.2
2024-03-04 11:00:00,STL-004,1081.3
2024-03-04 12:00:00,STL-001,1181.3
2024-03-04 12:00:00,STL-002,1298.7
2024-03-04 12:00:00,STL-003,1276.6
2024-03-04 12:00:00,STL-004,1142.1
2024-03-04 13:00:00,STL-001,1085.9
2024-03-04 13:00:00,STL-002,1265.8
2024-03-04 13:00:00,STL-003,1184.3
2024-03-04 13:00:00,STL-004,1214.7
2024-03-04 14:00:00,STL-001,991.3
2024-03-04 14:00:00,STL-002,984.4
2024-03-04 14:00:00,STL-003,1120.7
2024-03-04 14:00:00,STL-004,1063.9
2024-03-04 15:00:00,STL-001,877.9
2024-03-04 15:00:00,STL-002,1044.2
2024-03-04 15:00:00,STL-003,985.8
2024-03-04 15:00:00,STL-004,1017.9
2024-03-04 16:00:00,STL-001,770.1
2024-03-04 16:00:00,STL-002,899.8
2024-03-04 16:00:00,STL-003,767.2
2024-03-04 16:00:00,STL-004,900.9
2024-03-04 17:00:00,STL-001,745.2
2024-03-04 17:00:00,STL-002,728.0
2024-03-04 17:00:00,STL-003,760.1
2024-03-04 17:00:00,STL-004,816.3
2024-03-04 18:00:00,STL-001,686.6
2024-03-04 18:00:00,STL-002,666.6
2024-03-04 18:00:00,STL-003,723.9
2024-03-04 18:00:00,STL-004,682.3
2024-03-04 19:00:00,STL-001,693.4
2024-03-04 19:00:00,STL-002,701.2
2024-03-04 19:00:00,STL-003,684.5
2024-03-04 19:00:00,STL-004,707.3
2024-03-04 20:00:00,STL-001,808.4
2024-03-04 20:00:00,STL-002,807.2
2024-03-04 20:00:00,STL-003,883.6
2024-03-04 20:00:00,STL-004,804.7
2024-03-04 21:00:00,STL-001,960.0
2024-03-04 21:00:00,STL-002,898.2
2024-03-04 21:00:00,STL-003,930.6
2024-03-04 21:00:00,STL-004,867.5
2024-03-04 22:00:00,STL-001,1026.1
2024-03-04 22:00:00,STL-002,975.3
2024-03-04 22:00:00,STL-003,1130.3
2024-03-04 22:00:00,STL-004,1091.0
2024-03-04 23:00:00,STL-001,1095.3
2024-03-04 23:00:00,STL-002,1162.0
2024-03-04 23:00:00,STL-003,1269.4
2024-03-04 23:00:00,STL-004,1075.9
2024-03-05 00:00:00,STL-001,1276.5
2024-03-05 00:00:00,STL-002,1183.7
2024-03-05 00:00:00,STL-003,1198.8
2024-03-05 00:00:00,STL-004,1280.3
2024-03-05 01:00:00,STL-001,1142.9
2024-03-05 01:00:00,STL-002,1169.4
2024-03-05 01:00:00,STL-003,1211.7
2024-03-05 01:00:00,STL-004,1280.5
2024-03-05 02:00:00,STL-001,1046.0
2024-03-05 02:00:00,STL-002,1151.8
2024-03-05 02:00:00,STL-003,1124.7
2024-03-05 02:00:00,STL-004,1109.4
2024-03-05 03:00:00,STL-001,941.7
2024-03-05 03:00:00,STL-002,930.7
2024-03-05 03:00:00,STL-003,874.4
2024-03-05 03:00:00,STL-004,888.9
2024-03-05 04:00:00,STL-001,767.9
2024-03-05 04:00:00,STL-002,880.5
2024-03-05 04:00:00,STL-003,798.9
2024-03-05 04:00:00,STL-004,783.4
2024-03-05 05:00:00,STL-001,689.6
2024-03-05 05:00:00,STL-002,803.5
2024-03-05 05:00:00,STL-003,807.9
2024-03-05 05:00:00,STL-004,777.8
2024-03-05 06:00:00,STL-001,688.6
2024-03-05 06:00:00,STL-002,682.9
2024-03-05 06:00:00,STL-003,690.2
2024-03-05 06:00:00,STL-004,714.2
2024-03-05 07:00:00,STL-001,700.6
2024-03-05 07:00:00,STL-002,744.0
2024-03-05 07:00:00,STL-003,716.5
2024-03-05 07:00:00,STL-004,821.6
2024-03-05 08:00:00,STL-001,919.4
2024-03-05 08:00:00,STL-002,847.9
2024-03-05 08:00:00,STL-003,797.1
2024-03-05 08:00:00,STL-004,918.2
2024-03-05 09:00:00,STL-001,923.4
2024-03-05 09:00:00,STL-002,932.5
2024-03-05 09:00:00,STL-003,864.2
2024-03-05 09:00:00,STL-004,937.3
2024-03-05 10:00:00,STL-001,1074.5
2024-03-05 10:00:00,STL-002,1080.6
2024-03-05 10:00:00,STL-003,1015.4
2024-03-05 10:00:00,STL-004,1081.0
2024-03-05 11:00:00,STL-001,1052.2
2024-03-05 11:00:00,STL-002,1112.8
2024-03-05 11:00:00,STL-003,1072.0
2024-03-05 11:00:00,STL-004,1144.4
2024-03-05 12:00:00,STL-001,1090.0
2024-03-05 12:00:00,STL-002,1085.4
2024-03-05 12:00:00,STL-003,1153.0
2024-03-05 12:00:00,STL-004,1135.9
2024-03-05 13:00:00,STL-001,1187.8
2024-03-05 13:00:00,STL-002,1174.7
2024-03-05 13:00:00,STL-003,1226.4
2024-03-05 13:00:00,STL-004,1204.6
2024-03-05 14:00:00,STL-001,1126.7
2024-03-05 14:00:00,STL-002,1161.9
2024-03-05 14:00:00,STL-003,1056.1
2024-03-05 14:00:00,STL-004,1042.4
2024-03-05 15:00:00,STL-001,1053.1
2024-03-05 15:00:00,STL-002,892.7
2024-03-05 15:00:00,STL-003,1003.0
2024-03-05 15:00:00,STL-004,987.5
2024-03-05 16:00:00,STL-001,763.4
2024-03-05 16:00:00,STL-002,896.3
2024-03-05 16:00:00,STL-003,905.8
2024-03-05 16:00:00,STL-004,861.4
2024-03-05 17:00:00,STL-001,787.3
2024-03-05 17:00:00,STL-002,799.1
2024-03-05 17:00:00,STL-003,697.9
2024-03-05 17:00:00,STL-004,755.7
2024-03-05 18:00:00,STL-001,720.6
2024-03-05 18:00:00,STL-002,768.2
2024-03-05 18:00:00,STL-003,763.9
2024-03-05 18:00:00,STL-004,767.0
2024-03-05 19:00:00,STL-001,764.8
2024-03-05 19:00:00,STL-002,811.2
2024-03-05 19:00:00,STL-003,779.7
2024-03-05 19:00:00,STL-004,781.2
2024-03-05 20:00:00,STL-001,794.6
2024-03-05 20:00:00,STL-002,761.2
2024-03-05 20:00:00,STL-003,778.4
2024-03-05 20:00:00,STL-004,816.6
2024-03-05 21:00:00,STL-001,884.1
2024-03-05 21:00:00,STL-002,1024.5
2024-03-05 21:00:00,STL-003,971.2
2024-03-05 21:00:00,STL-004,984.5
2024-03-05 22:00:00,STL-001,1107.3
2024-03-05 22:00:00,STL-002,1119.0
2024-03-05 22:00:00,STL-003,1077.7
2024-03-05 22:00:00,STL-004,972.7
2024-03-05 23:00:00,STL-001,1237.4
2024-03-05 23:00:00,STL-002,1225.8
2024-03-05 23:00:00,STL-003,1168.5
2024-03-05 23:00:00,STL-004,1176.1
2024-03-06 00:00:00,STL-001,1238.2
2024-03-06 00:00:00,STL-002,1095.9
2024-03-06 00:00:00,STL-003,1256.8
2024-03-06 00:00:00,STL-004,1140.5
2024-03-06 01:00:00,STL-001,1068.5
2024-03-06 01:00:00,STL-002,1113.1
2024-03-06 01:00:00,STL-003,1221.4
2024-03-06 01:00:00,STL-004,1099.0
2024-03-06 02:00:00,STL-001,1131.8
2024-03-06 02:00:00,STL-002,1182.8
2024-03-06 02:00:00,STL-003,1078.7
2024-03-06 02:00:00,STL-004,1054.6
2024-03-06 03:00:00,STL-001,956.0
2024-03-06 03:00:00,STL-002,995.3
2024-03-06 03:00:00,STL-003,1011.3
2024-03-06 03:00:00,STL-004,982.5
2024-03-06 04:00:00,STL-001,864.0
2024-03-06 04:00:00,STL-002,769.0
2024-03-06 04:00:00,STL-003,780.8
2024-03-06 04:00:00,STL-004,798.7
2024-03-06 05:00:00,STL-001,788.7
2024-03-06 05:00:00,STL-002,722.7
2024-03-06 05:00:00,STL-003,762.3
2024-03-06 05:00:00,STL-004,678.8
2024-03-06 06:00:00,STL-001,656.7
2024-03-06 06:00:00,STL-002,686.7
2024-03-06 06:00:00,STL-003,744.8
2024-03-06 06:00:00,STL-004,747.7
2024-03-06 07:00:00,STL-001,778.6
2024-03-06 07:00:00,STL-002,720.7
2024-03-06 07:00:00,STL-003,754.6
2024-03-06 07:00:00,STL-004,746.8
2024-03-06 08:00:00,STL-001,834.3
2024-03-06 08:00:00,STL-002,775.9
2024-03-06 08:00:00,STL-003,906.1
2024-03-06 08:00:00,STL-004,789.5
2024-03-06 09:00:00,STL-001,1051.8
2024-03-06 09:00:00,STL-002,1043.8
2024-03-06 09:00:00,STL-003,867.4
2024-03-06 09:00:00,STL-004,952.1
2024-03-06 10:00:00,STL-001,1149.1
2024-03-06 10:00:00,STL-002,1181.1
2024-03-06 10:00:00,STL-003,1069.1
2024-03-06 10:00:00,STL-004,1030.0
2024-03-06 11:00:00,STL-001,1100.1
2024-03-06 11:00:00,STL-002,1271.9
2024-03-06 11:00:00,STL-003,1100.3
2024-03-06 11:00:00,STL-004,1186.9
2024-03-06 12:00:00,STL-001,1114.0
2024-03-06 12:00:00,STL-002,1205.8
2024-03-06 12:00:00,STL-003,1308.7
2024-03-06 12:00:00,STL-004,1111.8
2024-03-06 13:00:00,STL-001,1242.6
2024-03-06 13:00:00,STL-002,1169.9
2024-03-06 13:00:00,STL-003,1258.2
2024-03-06 13:00:00,STL-004,1215.3
2024-03-06 14:00:00,STL-001,1022.0
2024-03-06 14:00:00,STL-002,1165.9
2024-03-06 14:00:00,STL-003,1077.0
2024-03-06 14:00:00,STL-004,977.4
2024-03-06 15:00:00,STL-001,864.7
2024-03-06 15:00:00,STL-002,958.4
2024-03-06 15:00:00,STL-003,950.5
2024-03-06 15:00:00,STL-004,922.0
2024-03-06 16:00:00,STL-001,779.6
2024-03-06 16:00:00,STL-002,813.8
2024-03-06 16:00:00,STL-003,809.1
2024-03-06 16:00:00,STL-004,897.2
2024-03-06 17:00:00,STL-001,677.2
2024-03-06 17:00:00,STL-002,789.9
2024-03-06 17:00:00,STL-003,803.2
2024-03-06 17:00:00,STL-004,695.0
2024-03-06 18:00:00,STL-001,781.4
2024-03-06 18:00:00,STL-002,750.7
2024-03-06 18:00:00,STL-003,777.8
2024-03-06 18:00:00,STL-004,689.7
2024-03-06 19:00:00,STL-001,732.9
2024-03-06 19:00:00,STL-002,736.0
2024-03-06 19:00:00,STL-003,827.2
2024-03-06 19:00:00,STL-004,765.6
2024-03-06 20:00:00,STL-001,816.6
2024-03-06 20:00:00,STL-002,827.9
2024-03-06 20:00:00,STL-003,802.2
2024-03-06 20:00:00,STL-004,764.1
2024-03-06 21:00:00,STL-001,883.5
2024-03-06 21:00:00,STL-002,1024.3
2024-03-06 21:00:00,STL-003,918.8
2024-03-06 21:00:00,STL-004,1043.6
2024-03-06 22:00:00,STL-001,1025.9
2024-03-06 22:00:00,STL-002,1029.4
2024-03-06 22:00:00,STL-003,1082.4
2024-03-06 22:00:00,STL-004,1013.0
2024-03-06 23:00:00,STL-001,1138.3
2024-03-06 23:00:00,STL-002,1274.4
2024-03-06 23:00:00,STL-003,1257.6
2024-03-06 23:00:00,STL-004,1240.7
2024-03-07 00:00:00,STL-001,1231.4
2024-03-07 00:00:00,STL-002,1299.2
2024-03-07 00:00:00,STL-003,1305.8
2024-03-07 00:00:00,STL-004,1211.8
2024-03-07 01:00:00,STL-001,1219.1
2024-03-07 01:00:00,STL-002,1062.6
2024-03-07 01:00:00,STL-003,1222.1
2024-03-07 01:00:00,STL-004,1156.4
2024-03-07 02:00:00,STL-001,1134.6
2024-03-07 02:00:00,STL-002,1111.2
2024-03-07 02:00:00,STL-003,1033.8
2024-03-07 02:00:00,STL-004,982.6
2024-03-07 03:00:00,STL-001,1041.9
2024-03-07 03:00:00,STL-002,888.4
2024-03-07 03:00:00,STL-003,954.7
2024-03-07 03:00:00,STL-004,930.0
2024-03-07 04:00:00,STL-001,806.0
2024-03-07 04:00:00,STL-002,880.2
2024-03-07 04:00:00,STL-003,920.0
2024-03-07 04:00:00,STL-004,799.7
2024-03-07 05:00:00,STL-001,775.6
2024-03-07 05:00:00,STL-002,722.2
2024-03-07 05:00:00,STL-003,760.8
2024-03-07 05:00:00,STL-004,736.3
2024-03-07 06:00:00,STL-001,672.1
2024-03-07 06:00:00,STL-002,671.3
2024-03-07 06:00:00,STL-003,677.9
2024-03-07 06:00:00,STL-004,778.5
2024-03-07 07:00:00,STL-001,751.7
2024-03-07 07:00:00,STL-002,710.0
2024-03-07 07:00:00,STL-003,813.3
2024-03-07 07:00:00,STL-004,826.8
2024-03-07 08:00:00,STL-001,831.6
2024-03-07 08:00:00,STL-002,779.5
2024-03-07 08:00:00,STL-003,788.3
2024-03-07 08:00:00,STL-004,771.2
2024-03-07 09:00:00,STL-001,929.7
2024-03-07 09:00:00,STL-002,881.5
2024-03-07 09:00:00,STL-003,909.9
2024-03-07 09:00:00,STL-004,913.6
2024-03-07 10:00:00,STL-001,1095.0
2024-03-07 10:00:00,STL-002,1163.6
2024-03-07 10:00:00,STL-003,1133.9
2024-03-07 10:00:00,STL-004,1061.2
2024-03-07 11:00:00,STL-001,1147.7
2024-03-07 11:00:00,STL-002,1173.5
